a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_c_orig,et_h_c_v2,et_h_d,et_h_e
19,1,17,0.4709418837675351,80.68936170212766,6,1,5,1,1000,8
15,1,13,0.9238476953907816,91.78308026030369,6,1,5,1,1000,9
6,1,6,0.0,0.0,4,1,3,3,1000,6
11,1,8,0.25250501002004005,15.46031746031746,8,1,6,3,1000,12
12,1,15,0.0,0.0,2,1,2,1,1000,2
6,1,5,0.20040080160320642,9.86,5,1,4,3,1000,10
5,1,6,0.3346693386773547,10.221556886227544,2,1,2,2,1000,3
3,1,4,0.501002004008016,7.748,2,1,2,3,1000,2
16,1,1,1.0,27.210420841683366,1000,1,1000,1000,1000,1000
11,1,15,0.1342685370741483,17.08955223880597,2,1,2,1,1000,2
14,1,7,0.0,0.0,1000,1,1000,8,1000,1000
15,1,4,0.501002004008016,25.084,1000,1,1000,1000,1000,1000
20,1,10,0.0,0.0,1000,1,1000,5,1000,1000
12,1,4,0.0,0.0,1000,1,1000,13,1000,1000
4,1,20,0.0,0.0,1,1,1,1,1000,1
20,1,4,0.0,0.0,1000,1,1000,1000,1000,1000
14,1,18,0.0,0.0,2,1,2,1,1000,2
9,1,20,0.10020040080160321,11.92,1,1,1,1,1000,1
12,1,17,0.9418837675350702,94.56595744680851,2,1,2,1,1000,2
18,1,9,0.0,0.0,1000,1,1000,5,1000,1000
4,1,15,0.13627254509018036,7.75,1,1,1,1,1000,1
5,1,20,0.0,0.0,1,1,1,1,1000,1
15,1,14,0.07214428857715431,16.61111111111111,5,1,4,1,1000,7
17,1,18,0.11022044088176353,26.90909090909091,4,1,4,1,1000,5
16,1,9,0.3346693386773547,30.227544910179642,1000,1,64,5,1000,1000
4,1,18,0.0,0.0,1,1,1,1,1000,1
8,1,15,0.27054108216432865,14.503703703703703,2,1,2,1,1000,2
12,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
16,1,7,0.4308617234468938,25.47906976744186,1000,1,1000,23,1000,1000
5,1,2,0.501002004008016,8.988,1000,1,1000,1000,1000,1000
14,1,7,0.0,0.0,1000,1,1000,8,1000,1000
9,1,18,0.0,0.0,1,1,1,1,1000,1
8,1,11,0.9098196392785571,41.31497797356828,2,1,2,1,1000,2
14,1,16,0.0,0.0,3,1,3,1,1000,4
15,1,4,0.501002004008016,25.084,1000,1,1000,1000,1000,1000
15,1,10,0.0,0.0,54,1,8,3,1000,16
20,1,6,0.0,0.0,1000,1,1000,1000,1000,1000
