a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_c,et_h_d
19,1,18,0.056112224448897796,16.464285714285715,5,1,5,1000
10,16,5,0.0,0.0,2,2,1,1000
9,2,2,0.0,0.0,1000,1,1000,1000
6,17,13,0.0,0.0,1,1000,1,1000
14,11,13,0.0,0.0,2,3,2,1000
9,7,7,0.0,0.0,2,2,2,1000
10,6,10,0.0,0.0,2,2,2,1000
4,3,4,0.0,0.0,2,3,2,1000
17,6,20,0.0,0.0,2,1,2,1000
15,13,15,0.0,0.0,2,3,2,1000
3,9,16,0.0,0.0,1,10,1,1000
3,14,2,0.0,0.0,1,2,1,1000
4,4,1,0.0,0.0,2,1,2,1000
15,7,17,0.0,0.0,2,2,2,1000
20,8,16,0.0,0.0,4,1,2,1000
8,5,3,0.006012024048096192,3.0,4,1,3,1000
5,18,16,0.0,0.0,1,1000,1,1000
12,14,2,0.0,0.0,2,1,2,1000
17,9,13,0.0,0.0,3,1,2,1000
19,5,17,0.0,0.0,4,1,2,1000
3,7,9,0.0,0.0,1,1000,1,1000
13,9,19,0.0,0.0,2,3,1,1000
12,5,6,0.0,0.0,6,1,3,1000
4,7,15,0.0,0.0,1,1000,1,1000
13,9,4,0.006012024048096192,3.0,3,1,3,1000
9,7,17,0.0,0.0,1,14,1,1000
17,16,6,0.0,0.0,3,1,2,1000
9,3,6,0.01603206412825651,3.5,8,1,3,1000
12,8,9,0.0,0.0,3,2,2,1000
12,19,3,0.0,0.0,2,1,2,1000
2,14,1,0.0,0.0,1,2,1,1000
5,6,14,0.0,0.0,1,1000,1,1000
20,3,3,0.0,0.0,1000,1,1000,1000
4,13,19,0.0,0.0,1,1000,1,1000
14,9,13,0.0,0.0,2,2,2,1000
6,6,19,0.0,0.0,1,1000,1,1000
19,3,2,0.0,0.0,1000,1,1000,1000
12,16,2,0.0,0.0,2,1,2,1000
7,14,13,0.0,0.0,1,1000,1,1000
19,12,9,0.0,0.0,3,1,2,1000
13,11,10,0.0,0.0,2,2,2,1000
14,9,15,0.0,0.0,2,3,2,1000
