a_divisor,b_multiplier,c_adder,collatz_conv_rate,z_v1,z_log,z_polar,z_reciprocal,escape_v1,escape_log,escape_polar,escape_reciprocal
9,6,7,0.0,(0.6666666666666666+0.7777777777777778j),(-1.4054651081081644-1.251314428280906j),(0.9400319838808435+1.0967039811943173j),(0.018518518518518517+0.015873015873015872j),2,1,1,100
5,6,5,0.0,(1.2+1j),(-0.8176784432060452-1j),(1.690086815114227+1.4084056792618558j),(0.03333333333333333+0.04j),1,2,0,100
7,6,6,0.0,(0.8571428571428571+0.8571428571428571j),(-1.1541506798272583-1.1541506798272583j),(1.212183053462653+1.2121830534626528j),(0.023809523809523808+0.023809523809523808j),1,2,1,100
2,2,5,0.0,(1+2.5j),(-1-0.0837092681258449j),(1.2998673672393632+3.2496684180984077j),(0.25+0.1j),0,100,0,100
8,4,1,0.0,(0.5+0.125j),(-1.6931471805599454-3.0794415416798357j),(0.6063390625908325+0.15158476564770812j),(0.03125+0.125j),4,0,3,100
9,1,2,0.51,(0.1111111111111111+0.2222222222222222j),(-3.1972245773362196-2.504077396776274j),(0.149071198499986+0.2981423969999719j),(0.1111111111111111+0.05555555555555555j),100,0,100,100
4,10,3,0.0,(2.5+0.75j),(-0.0837092681258449-1.2876820724517808j),(3.1129354269687424+0.9338806280906229j),(0.025+0.08333333333333333j),0,1,0,100
5,9,6,0.0,(1.8+1.2j),(-0.41221333509788105-0.8176784432060452j),(2.4961508830135313+1.6641005886756872j),(0.022222222222222223+0.03333333333333333j),0,5,0,100
10,5,6,0.0,(0.5+0.6j),(-1.6931471805599454-1.5108256237659905j),(0.7042028396309279+0.8450434075571136j),(0.02+0.016666666666666666j),3,0,1,100
5,4,8,0.0,(0.8+1.6j),(-1.2231435513142097-0.5299963707542644j),(1.0733126291998996+2.1466252583997982j),(0.05+0.025j),1,3,0,100
8,3,6,0.0,(0.375+0.75j),(-1.9808292530117262-1.2876820724517808j),(0.5031152949374528+1.0062305898749053j),(0.041666666666666664+0.020833333333333332j),3,0,1,100
4,5,7,0.0,(1.25+1.75j),(-0.7768564486857903-0.44038421206457734j),(1.7437145811572892+2.441200413620205j),(0.05+0.03571428571428571j),0,6,0,100
2,2,3,0.0,(1+1.5j),(-1-0.5945348918918356j),(1.386750490563073+2.0801257358446095j),(0.25+0.16666666666666666j),1,4,0,100
4,10,10,0.0,(2.5+2.5j),(-0.0837092681258449-0.0837092681258449j),(3.5355339059327378+3.5355339059327373j),(0.025+0.025j),0,100,0,100
8,1,1,1.0,(0.125+0.125j),(-3.0794415416798357-3.0794415416798357j),(0.1767766952966369+0.17677669529663687j),(0.125+0.125j),100,0,100,100
9,7,3,0.0,(0.7777777777777778+0.3333333333333333j),(-1.251314428280906-2.09861228866811j),(1.02127225557562+0.4376881095324085j),(0.015873015873015872+0.037037037037037035j),2,0,1,100
10,9,2,0.0,(0.9+0.2j),(-1.1053605156578263-2.6094379124341005j),(1.0738057662023481+0.23862350360052176j),(0.011111111111111112+0.05j),2,0,1,100
6,7,1,0.0,(1.1666666666666667+0.16666666666666666j),(-0.8458493201727418-2.791759469228055j),(1.3199326582148887+0.18856180831641267j),(0.023809523809523808+0.16666666666666666j),1,0,1,100
8,6,9,0.0,(0.75+1.125j),(-1.2876820724517808-0.8822169643436165j),(1.0400628679223047+1.560094301883457j),(0.020833333333333332+0.013888888888888888j),1,2,1,100
10,2,10,0.0,(0.2+1j),(-2.6094379124341005-1j),(0.23533936216582083+1.1766968108291043j),(0.05+0.01j),3,0,1,100
3,7,2,0.08,(2.3333333333333335+0.6666666666666666j),(-0.15270213961279655-1.4054651081081644j),(2.8845718429224694+0.8241633836921343j),(0.047619047619047616+0.16666666666666666j),0,1,0,100
4,7,4,0.0,(1.75+1j),(-0.44038421206457734-1j),(2.387668640842263+1.3643820804812927j),(0.03571428571428571+0.0625j),0,3,0,100
2,1,2,0.0,(0.5+1j),(-1.6931471805599454-1j),(0.670820393249937+1.3416407864998738j),(0.5+0.25j),1,1,1,4
4,8,8,0.18,(2+2j),(-0.3068528194400547-0.3068528194400547j),(2.8284271247461903+2.82842712474619j),(0.03125+0.03125j),0,100,0,100
5,3,5,0.0,(0.6+1j),(-1.5108256237659905-1j),(0.8231932086840423+1.3719886811400708j),(0.06666666666666667+0.04j),1,1,1,100
7,2,3,0.0,(0.2857142857142857+0.42857142857142855j),(-2.252762968495368-1.8472978603872037j),(0.39621442587516364+0.5943216388127455j),(0.07142857142857142+0.047619047619047616j),100,0,10,100
3,6,4,0.0,(2+1.3333333333333333j),(-0.3068528194400547-0.7123179275482192j),(2.7735009811261455+1.8490006540840966j),(0.05555555555555555+0.08333333333333333j),0,9,0,100
3,7,2,0.08,(2.3333333333333335+0.6666666666666666j),(-0.15270213961279655-1.4054651081081644j),(2.8845718429224694+0.8241633836921343j),(0.047619047619047616+0.16666666666666666j),0,1,0,100
10,2,2,0.16,(0.2+0.2j),(-2.6094379124341005-2.6094379124341005j),(0.28284271247461906+0.282842712474619j),(0.05+0.05j),100,0,100,100
10,7,6,0.0,(0.7+0.6j),(-1.3566749439387322-1.5108256237659905j),(0.9870335830748855+0.8460287854927591j),(0.014285714285714285+0.016666666666666666j),2,0,1,100
