Input,Final_RE,Final_IM,Magnitude,Mandel_Match
1,-965,-807,1257.96,true
2,988,-330,1041.65,true
3,1312,48,1312.88,true
4,-965,-807,1257.96,true
5,-965,-807,1257.96,true
6,259,-1977,1993.89,true
7,1465,-1347,1990.13,true
8,-965,-807,1257.96,true
9,-965,-807,1257.96,true
10,1312,48,1312.88,true
11,16,-1302,1302.10,true
12,988,-330,1041.65,true
13,979,903,1331.86,true
14,1045,57,1046.55,true
15,19,-1041,1041.17,true
16,-965,-807,1257.96,true
17,1288,-24,1288.22,true
18,1330,1434,1955.83,true
19,1393,1425,1992.76,true
20,-1127,-1023,1522.06,true
21,-965,-807,1257.96,true
22,1465,-1347,1990.13,true
23,1060,12,1060.07,true
24,1555,-195,1567.18,true
25,1045,57,1046.55,true
26,-35,1281,1281.48,true
27,-926,-942,1320.92,true
28,-965,-807,1257.96,true
29,1069,-1167,1582.61,true
30,-47,1515,1515.73,true
31,-1055,-1077,1507.63,true
32,988,-330,1041.65,true
33,-11,-1275,1275.05,true
34,16,-1302,1302.10,true
35,-1199,-1221,1711.27,true
36,925,867,1267.80,true
37,1465,-1347,1990.13,true
38,-1262,-1320,1826.21,true
39,7,-1509,1509.02,true
40,979,903,1331.86,true
41,1060,12,1060.07,true
42,-737,705,1019.90,true
43,-1469,-1491,2093.09,true
44,-965,-807,1257.96,true
45,1177,-33,1177.46,true
46,19,-1041,1041.17,true
47,-8,1434,1434.02,true
48,1312,48,1312.88,true
49,-830,840,1180.89,true
50,16,-1140,1140.11,true
51,1177,-1167,1657.47,true
52,1288,-24,1288.22,true
53,1312,48,1312.88,true
54,-1748,-24,1748.16,true
55,-1118,-6,1118.02,true
56,-1127,-1023,1522.06,true
57,988,-330,1041.65,true
58,1393,1425,1992.76,true
59,1357,-1347,1912.03,true
60,16,-1302,1302.10,true
61,1303,-1347,1874.09,true
62,-11,1047,1047.06,true
63,-1280,-6,1280.01,true
64,-965,-807,1257.96,true
65,-8,-1482,1482.02,true
66,-740,-762,1062.19,true
67,-1154,1146,1626.36,true
68,-1307,-1275,1825.89,true
69,979,903,1331.86,true
70,1060,12,1060.07,true
71,-1442,-6,1442.01,true
72,1879,-87,1881.01,true
73,1060,12,1060.07,true
74,-11,1263,1263.05,true
75,-1289,1281,1817.27,true
76,1045,57,1046.55,true
77,937,-969,1347.94,true
78,1180,12,1180.06,true
79,-1604,-6,1604.01,true
80,-965,-807,1257.96,true
81,1033,-1041,1466.55,true
82,-926,-942,1320.92,true
83,1267,3,1267.00,true
84,1045,-1077,1500.65,true
85,-965,-807,1257.96,true
86,-965,-987,1380.36,true
87,-1766,-6,1766.01,true
88,1069,-1167,1582.61,true
89,16,-1140,1140.11,true
90,16,-2058,2058.06,true
91,1387,3,1387.00,true
92,1288,-24,1288.22,true
93,802,786,1122.94,true
94,-1055,-1077,1507.63,true
95,-1928,-6,1928.01,true
96,259,-1977,1993.89,true
97,1474,-6,1474.01,true
98,16,-2112,2112.06,true
99,757,-753,1067.73,true
100,-11,-1275,1275.05,true
101,1393,1425,1992.76,true
102,1546,12,1546.05,true
103,-2090,-6,2090.01,true
104,925,867,1267.80,true
105,1357,-1347,1912.03,true
106,-1199,-1221,1711.27,true
107,-722,-726,1023.89,true
108,-1127,-1023,1522.06,true
109,-1250,12,1250.06,true
110,-8,1110,1110.03,true
111,-749,-753,1062.08,true
112,1465,-1347,1990.13,true
113,7,1929,1929.01,true
114,871,-861,1224.73,true
115,-776,-780,1100.26,true
116,988,966,1381.77,true
117,1465,-1347,1990.13,true
118,7,-1509,1509.02,true
119,-803,-807,1138.45,true
120,-794,-762,1100.49,true
121,-1307,-1275,1825.89,true
122,934,-924,1313.82,true
123,-830,-834,1176.63,true
124,1060,12,1060.07,true
125,-1199,1209,1702.73,true
126,-8,1272,1272.03,true
127,-857,-861,1214.81,true
128,-965,-807,1257.96,true
129,1960,-6,1960.01,true
130,-1469,-1491,2093.09,true
131,-884,-888,1253.00,true
132,1132,1110,1585.41,true
133,1045,57,1046.55,true
134,2032,12,2032.04,true
135,-911,-915,1291.18,true
136,1177,-33,1177.46,true
137,937,-969,1347.94,true
138,-2,1326,1326.00,true
139,-938,-942,1329.36,true
140,-35,1281,1281.48,true
141,1222,1200,1712.68,true
142,-8,1434,1434.02,true
143,-965,-969,1367.55,true
144,-965,-807,1257.96,true
145,736,732,1038.04,true
146,1114,-1104,1568.38,true
147,-992,-996,1405.73,true
148,-830,840,1180.89,true
149,-965,-807,1257.96,true
150,-1010,-6,1010.02,true
151,-1019,-1023,1443.91,true
152,1288,-24,1288.22,true
153,-965,-987,1380.36,true
154,1177,-1167,1657.47,true
155,-1046,-1050,1482.10,true
156,1069,-1167,1582.61,true
157,-1007,3,1007.00,true
158,-1064,-6,1064.02,true
159,-1073,-1077,1520.28,true
160,1312,48,1312.88,true
161,817,813,1152.59,true
162,-1037,-3,1037.00,true
163,-1100,-1104,1558.47,true
164,-1856,12,1856.04,true
165,-1055,-1077,1507.63,true
166,-1118,-6,1118.02,true
167,-1127,-1131,1596.65,true
168,1447,-33,1447.38,true
169,-1928,-6,1928.01,true
170,7,-1293,1293.02,true
171,-1154,-1158,1634.83,true
172,988,-330,1041.65,true
173,-8,-1320,1320.02,true
174,-1172,-6,1172.02,true
175,-1181,-1185,1673.02,true
176,16,-1302,1302.10,true
177,898,894,1267.14,true
178,1357,-1347,1912.03,true
179,-1208,-1212,1711.20,true
180,-1010,1020,1435.44,true
181,16,-1302,1302.10,true
182,-1226,-6,1226.01,true
183,-1235,-1239,1749.38,true
184,1303,-1347,1874.09,true
185,925,867,1267.80,true
186,1420,-1410,2001.12,true
187,-1262,-1266,1787.57,true
188,-1199,-1221,1711.27,true
189,-1073,1083,1524.54,true
190,-1280,-6,1280.01,true
191,-1289,-1293,1825.75,true
192,988,-330,1041.65,true
193,979,975,1381.69,true
194,7,-1473,1473.02,true
195,-1316,-1320,1863.94,true
196,-8,-1482,1482.02,true
197,1465,-1347,1990.13,true
198,-1334,-6,1334.01,true
199,-1343,-1347,1902.12,true
200,-1307,-1275,1825.89,true
201,7,1929,1929.01,true
202,-1154,1146,1626.36,true
