Final_RE,Final_IM,Is_Stable
1093,364,1
1093,-1094,1
2551,364,1
-1094,1093,1
1336,121,1
364,-1823,1
1822,121,1
364,1093,1
2308,121,1
121,-1094,1
2794,121,1
-1823,364,1
1093,40,1
121,-1580,1
1255,40,1
1093,364,1
1417,40,1
121,-2066,1
1579,40,1
-1094,121,1
1741,40,1
121,-2552,1
1903,40,1
364,2551,1
2065,40,1
40,-1013,1
2227,40,1
-1580,121,1
2389,40,1
40,-1175,1
2551,40,1
1093,-1094,1
2713,40,0
40,-1337,1
2875,40,0
-2066,121,1
1012,13,1
40,-1499,1
1066,13,1
121,1336,1
1120,13,1
40,-1661,1
1174,13,1
-2552,121,1
1228,13,1
40,-1823,1
1282,13,1
2551,364,1
1336,13,1
40,-1985,1
1390,13,1
-1013,40,1
1444,13,1
40,-2147,1
1498,13,1
121,1822,1
1552,13,1
40,-2309,1
1606,13,1
-1175,40,1
1660,13,1
40,-2471,1
1714,13,1
-1094,1093,1
1768,13,1
40,-2633,1
1822,13,1
-1337,40,1
1876,13,1
40,-2795,1
1930,13,1
121,2308,1
1984,13,1
40,-2957,1
2038,13,1
-1499,40,1
2092,13,1
13,-1040,1
2146,13,1
1336,121,1
2200,13,1
13,-1094,1
2254,13,1
-1661,40,1
2308,13,1
13,-1148,1
2362,13,1
121,2794,1
2416,13,1
13,-1202,1
2470,13,1
-1823,40,1
2524,13,1
13,-1256,1
2578,13,1
364,-1823,1
2632,13,0
13,-1310,1
2686,13,0
-1985,40,1
2740,13,0
13,-1364,1
2794,13,0
40,1093,1
2848,13,0
13,-1418,1
2902,13,0
-2147,40,1
2956,13,0
13,-1472,1
1003,4,1
1822,121,1
1021,4,1
13,-1526,1
1039,4,1
-2309,40,1
1057,4,1
13,-1580,1
1075,4,1
40,1255,1
1093,4,1
13,-1634,1
1111,4,1
-2471,40,1
1129,4,1
13,-1688,1
1147,4,1
364,1093,1
1165,4,1
13,-1742,1
1183,4,1
-2633,40,1
1201,4,1
13,-1796,1
1219,4,1
40,1417,1
1237,4,1
13,-1850,1
1255,4,1
-2795,40,1
1273,4,1
13,-1904,1
1291,4,1
2308,121,1
1309,4,1
13,-1958,1
1327,4,1
-2957,40,1
1345,4,1
13,-2012,1
1363,4,1
40,1579,1
1381,4,1
13,-2066,1
1399,4,1
-1040,13,1
1417,4,1
13,-2120,1
1435,4,1
121,-1094,1
1453,4,1
13,-2174,1
1471,4,1
-1094,13,1
1489,4,1
13,-2228,1
1507,4,1
40,1741,1
1525,4,1
13,-2282,1
1543,4,1
-1148,13,1
1561,4,1
13,-2336,1
1579,4,1
2794,121,1
1597,4,1
13,-2390,1
1615,4,1
-1202,13,1
1633,4,1
13,-2444,1
1651,4,1
40,1903,1
1669,4,1
13,-2498,1
1687,4,1
-1256,13,1
1705,4,1
13,-2552,1
1723,4,1
-1823,364,1
1741,4,1
13,-2606,1
1759,4,1
-1310,13,1
1777,4,1
13,-2660,1
1795,4,1
40,2065,1
1813,4,1
13,-2714,1
1831,4,1
-1364,13,1
1849,4,1
13,-2768,1
1867,4,1
1093,40,1
1885,4,1
13,-2822,1
1903,4,1
-1418,13,1
1921,4,1
13,-2876,1
1939,4,1
40,2227,1
1957,4,1
13,-2930,1
1975,4,1
-1472,13,1
1993,4,1
13,-2984,1
2011,4,1
121,-1580,1
2029,4,1
4,-1013,1
2047,4,1
-1526,13,1
2065,4,1
4,-1031,1
2083,4,1
40,2389,1
2101,4,1
4,-1049,1
2119,4,1
-1580,13,1
2137,4,1
4,-1067,1
2155,4,1
1255,40,1
2173,4,1
4,-1085,1
2191,4,1
-1634,13,1
2209,4,1
4,-1103,1
2227,4,1
40,2551,1
2245,4,1
4,-1121,1
2263,4,1
-1688,13,1
2281,4,1
4,-1139,1
2299,4,1
1093,364,1
2317,4,1
4,-1157,1
2335,4,1
-1742,13,1
2353,4,1
4,-1175,1
2371,4,1
40,2713,1
2389,4,1
4,-1193,1
