Final_RE,Final_IM,Is_Stable,HCv2_RE,HCv2_IM
1457,0,1,-0.014481568540946793,-3.122525006224811e-11
728,-729,1,-0.000001885537129971405,8.136849404478546e-9
2915,0,1,-0.007476204341937861,-8.057354592579108e-12
-1,0,1,13.815510557896097,-0.000043402706474421385
1457,0,1,-0.014481568540946793,-3.122525006224811e-11
728,-2187,1,-0.0015108417498122311,0.000019560636805121417
1943,0,1,-0.011007462175677671,-1.7797716060615794e-11
728,729,1,-0.000001885537129971405,-8.136849404478546e-9
2429,0,1,-0.008896972205420522,-1.1507065673010165e-11
242,-1215,1,-0.006653569081971605,0.00043248365694187476
2915,0,1,-0.007476204341937861,-8.057354592579108e-12
-1459,0,1,0.014462657372506554,-3.1141725944381665e-11
1133,0,1,-0.018400825082958767,-5.102197431651726e-11
242,-1701,1,-0.00802474337580957,0.000731242541560525
1295,0,1,-0.016202144040230047,-3.9305433736826535e-11
1457,0,1,-0.014481568540946793,-3.122525006224811e-11
1457,0,1,-0.014481568540946793,-3.122525006224811e-11
242,-2187,1,-0.009034464614324934,0.0010603808918483754
1619,0,1,-0.013097637128870854,-2.541534316457417e-11
-2917,0,1,0.007471313516569076,-8.046562789276492e-12
1781,0,1,-0.011959820798008948,-2.109651047573011e-11
242,-2673,1,-0.009824669008634698,0.0014125741491267415
1943,0,1,-0.011007462175677671,-1.7797716060615794e-11
728,2187,1,-0.0015108417498122311,-0.000019560636805121417
2105,0,1,-0.010198375916427912,-1.5220495419285986e-11
80,-1053,1,-0.028109333397820693,0.015741983082048494
2267,0,1,-0.009502304017852582,-1.3168226067341176e-11
-1459,0,1,0.014462657372506554,-3.1141725944381665e-11
2429,0,1,-0.008896972205420522,-1.1507065673010165e-11
80,-1215,1,-0.02827487998366632,0.0188926707948178
2591,0,1,-0.008365615491519252,-1.014332542296945e-11
728,-729,1,-0.000001885537129971405,8.136849404478546e-9
2753,0,1,-0.007895371254306895,-9.0098221321811e-12
80,-1377,1,-0.02793407528954582,0.02202144931719224
2915,0,1,-0.007476204341937861,-8.057354592579108e-12
-1945,0,1,0.010996672397952092,-1.7761987259300742e-11
1025,0,1,-0.02024191068247491,-6.204081745822822e-11
80,-1539,1,-0.027141124451507556,0.025088997375885654
1079,0,1,-0.019276460169807608,-5.612491719803877e-11
242,1215,1,-0.006653569081971605,-0.00043248365694187476
1133,0,1,-0.018400825082958767,-5.102197431651726e-11
80,-1701,1,-0.025938206454435682,0.028059793657014543
1187,0,1,-0.017602944357686556,-4.658911598623251e-11
-2431,0,1,0.008889991169181571,-1.1488577107190027e-11
1241,0,1,-0.016872831058153813,-4.271358750810452e-11
80,-1863,1,-0.024360702551800062,0.030901403871586002
1295,0,1,-0.016202144040230047,-3.9305433736826535e-11
2915,0,1,-0.007476204341937861,-8.057354592579108e-12
1349,0,1,-0.01558386168582063,-3.6292175972374747e-11
80,-2025,1,-0.022440164680168833,0.03358407977550252
1403,0,1,-0.015012030390639156,-3.36148855243754e-11
-2917,0,1,0.007471313516569076,-8.046562789276492e-12
1457,0,1,-0.014481568540946793,-3.122525006224811e-11
80,-2187,1,-0.020206072604783264,0.03608053880810794
1511,0,1,-0.013988112190759109,-2.9083355722090427e-11
242,1701,1,-0.00802474337580957,-0.000731242541560525
1565,0,1,-0.01352789243510449,-2.715599200810045e-11
80,-2349,1,-0.01768689996693963,0.03836585186237837
1619,0,1,-0.013097637128870854,-2.541534316457417e-11
-1135,0,1,0.01836995461487205,-5.084662067388542e-11
1673,0,1,-0.012694491487717332,-2.38379684392534e-11
80,-2511,1,-0.014910764891519358,0.0404173967943701
1727,0,1,-0.012315953466190476,-2.2404000539280685e-11
-1,0,1,13.815510557896097,-0.000043402706474421385
1781,0,1,-0.011959820798008948,-2.109651047573011e-11
80,-2673,1,-0.011905819498224906,0.04221485164069675
1835,0,1,-0.011624147312508418,-1.990100043663323e-11
-1297,0,1,0.01617834983984635,-3.918718967160131e-11
1889,0,1,-0.011307206683676964,-1.8804996003208554e-11
80,-2835,1,-0.008700468895277208,0.04374021087723841
1943,0,1,-0.011007462175677671,-1.7797716060615794e-11
242,2187,1,-0.009034464614324934,-0.0010603808918483754
1997,0,1,-0.010723541257576408,-1.6869803923519826e-11
80,-2997,1,-0.005323475056957427,0.044977813655837015
2051,0,1,-0.010454214196019822,-1.6013107029385664e-11
-1459,0,1,0.014462657372506554,-3.1141725944381665e-11
2105,0,1,-0.010198375916427912,-1.5220495419285986e-11
26,-1053,1,1.4647034258101322e-15,-0.1423577682350959
2159,0,1,-0.00995503056437197,-1.4485711388278291e-11
1457,0,1,-0.014481568540946793,-3.122525006224811e-11
2213,0,1,-0.009723278309089619,-1.3803244331064135e-11
26,-1107,1,-0.03452876221864438,-0.14008869516270808
2267,0,1,-0.009502304017852582,-1.3168226067341176e-11
-1621,0,1,0.01308223879068473,-2.5354142675707937e-11
2321,0,1,-0.009291367498594877,-1.2576342901933925e-11
26,-1161,1,-0.06790214051502287,-0.12937671949811502
2375,0,1,-0.009089795062919164,-1.2023761428338365e-11
242,2673,1,-0.009824669008634698,-0.0014125741491267415
2429,0,1,-0.008896972205420522,-1.1507065673010165e-11
26,-1215,1,-0.09805040830218821,-0.11067603189951938
2483,0,1,-0.008712337230556763,-1.102320364040031e-11
-1783,0,1,0.011947034871467983,-2.1050317994607345e-11
2537,0,1,-0.008535375686859895,-1.0569441684457224e-11
26,-1269,1,-0.12306419378999801,-0.08494507969615857
2591,0,1,-0.008365615491519252,-1.014332542296945e-11
728,-2187,1,-0.0015108417498122311,0.000019560636805121417
2645,0,1,-0.008202622647356021,-9.742646143328141e-12
26,-1323,1,-0.1413155004620945,-0.05359390007471904
2699,0,1,-0.008045997469797065,-9.365411834722683e-12
-1945,0,1,0.010996672397952092,-1.7761987259300742e-11
2753,0,1,-0.007895371254306895,-9.0098221321811e-12
26,-1377,1,-0.1515624367504451,-0.018403011652239197
2807,0,1,-0.007750403325374477,-8.674246579748613e-12
80,1053,1,-0.028109333397820693,-0.015741983082048494
2861,0,1,-0.007610778416992095,-8.357205719301684e-12
26,-1431,1,-0.15303112207088027,0.018581342336571615
2915,0,1,-0.007476204341937861,-8.057354592579108e-12
-2107,0,1,0.010189146166003067,-1.5192286066192614e-11
2969,0,1,-0.007346409913347267,-7.773468310552711e-12
26,-1485,1,-0.1454695937581872,0.055169339855096096
1007,0,1,-0.02058613848131364,-6.422369554982826e-11
1943,0,1,-0.011007462175677671,-1.7797716060615794e-11
1025,0,1,-0.02024191068247491,-6.204081745822822e-11
26,-1539,1,-0.12917021705508228,0.08915976324387104
1043,0,1,-0.019909268468806373,-5.996817982737202e-11
-2269,0,1,0.009494316898520986,-1.3145560255287333e-11
1061,0,1,-0.01958763213626603,-5.799845543874901e-11
26,-1593,1,-0.10495899751900377,0.11847421707569726
1079,0,1,-0.019276460169807608,-5.612491719803877e-11
80,1215,1,-0.02827487998366632,-0.0188926707948178
1097,0,1,-0.01897524614242434,-5.434138001923279e-11
26,-1647,1,-0.0741521979601782,0.14128520902134922
1115,0,1,-0.01868351591198071,-5.2642149176956595e-11
-2431,0,1,0.008889991169181571,-1.1488577107190027e-11
1133,0,1,-0.018400825082958767,-5.102197431651726e-11
26,-1701,1,-0.03848264965157437,0.15613024706636508
1151,0,1,-0.01812675670433202,-4.947600842375239e-11
728,729,1,-0.000001885537129971405,-8.136849404478546e-9
1169,0,1,-0.017860919178303115,-4.799977115219684e-11
26,-1755,1,-2.778084471226894e-15,0.16200490761071093
1187,0,1,-0.017602944357686556,-4.658911598623251e-11
-2593,0,1,0.008359460602970667,-1.0128044742871557e-11
1205,0,1,-0.01735248581235604,-4.5240200788065435e-11
26,-1809,1,0.03904925611523893,0.1584290598550495
1223,0,1,-0.017109217247466432,-4.3949461335496585e-11
80,1377,1,-0.02793407528954582,-0.02202144931719224
1241,0,1,-0.016872831058153813,-4.271358750810452e-11
26,-1863,1,0.07635485425083272,0.14548201994521878
1259,0,1,-0.016643037007155376,-4.1529501822956615e-11
-2755,0,1,0.007889903186769978,-8.997046057746374e-12
1277,0,1,-0.016419561013309953,-4.039434005840558e-11
26,-1917,1,0.10968100299646295,0.12380425942741403
1295,0,1,-0.016202144040230047,-3.9305433736826535e-11
2429,0,1,-0.008896972205420522,-1.1507065673010165e-11
1313,0,1,-0.01599054107560325,-3.826029426507311e-11
26,-1971,1,0.13700148378306298,0.09456529637128515
