Final_RE,Final_IM,Is_Stable
1457,0,0
728,-729,0
2915,0,0
-1,0,1
1457,0,0
728,-2187,0
1943,0,0
728,729,0
2429,0,0
242,-1215,0
2915,0,0
-1459,0,1
1133,0,0
242,-1701,0
1295,0,0
1457,0,0
1457,0,0
242,-2187,0
1619,0,0
-2917,0,0
1781,0,0
242,-2673,0
1943,0,0
728,2187,0
2105,0,0
80,-1053,0
2267,0,0
-1459,0,1
2429,0,0
80,-1215,0
2591,0,0
728,-729,0
2753,0,0
80,-1377,0
2915,0,0
-1945,0,1
1025,0,0
80,-1539,0
1079,0,0
242,1215,0
1133,0,0
80,-1701,0
1187,0,0
-2431,0,0
1241,0,0
80,-1863,0
1295,0,0
2915,0,0
1349,0,0
80,-2025,0
1403,0,0
-2917,0,0
1457,0,0
80,-2187,0
1511,0,0
242,1701,0
1565,0,0
80,-2349,0
1619,0,0
-1135,0,1
1673,0,0
80,-2511,0
1727,0,0
-1,0,1
1781,0,0
80,-2673,0
1835,0,0
-1297,0,1
1889,0,0
80,-2835,0
1943,0,0
242,2187,0
1997,0,0
80,-2997,0
2051,0,0
-1459,0,1
2105,0,0
26,-1053,0
2159,0,0
1457,0,0
2213,0,0
26,-1107,0
2267,0,0
-1621,0,1
2321,0,0
26,-1161,0
2375,0,0
242,2673,0
2429,0,0
26,-1215,0
2483,0,0
-1783,0,1
2537,0,0
26,-1269,0
2591,0,0
728,-2187,0
2645,0,0
26,-1323,0
2699,0,0
-1945,0,1
2753,0,0
26,-1377,0
2807,0,0
80,1053,0
2861,0,0
26,-1431,0
2915,0,0
-2107,0,0
2969,0,0
26,-1485,0
1007,0,0
1943,0,0
1025,0,0
26,-1539,0
1043,0,0
-2269,0,0
1061,0,0
26,-1593,0
1079,0,0
80,1215,0
1097,0,0
26,-1647,0
1115,0,0
-2431,0,0
1133,0,0
26,-1701,0
1151,0,0
728,729,0
1169,0,0
26,-1755,0
1187,0,0
-2593,0,0
1205,0,0
26,-1809,0
1223,0,0
80,1377,0
1241,0,0
26,-1863,0
1259,0,0
-2755,0,0
1277,0,0
26,-1917,0
1295,0,0
2429,0,0
1313,0,0
26,-1971,0
1331,0,0
-2917,0,0
1349,0,0
26,-2025,0
1367,0,0
80,1539,0
1385,0,0
26,-2079,0
1403,0,0
-1027,0,1
1421,0,0
26,-2133,0
1439,0,0
242,-1215,0
1457,0,0
26,-2187,0
1475,0,0
-1081,0,1
1493,0,0
26,-2241,0
1511,0,0
80,1701,0
1529,0,0
26,-2295,0
1547,0,0
-1135,0,1
1565,0,0
26,-2349,0
1583,0,0
2915,0,0
1601,0,0
26,-2403,0
1619,0,0
-1189,0,1
1637,0,0
26,-2457,0
1655,0,0
80,1863,0
1673,0,0
26,-2511,0
1691,0,0
-1243,0,1
1709,0,0
26,-2565,0
1727,0,0
-1459,0,1
1745,0,0
26,-2619,0
1763,0,0
-1297,0,1
1781,0,0
26,-2673,0
1799,0,0
80,2025,0
1817,0,0
26,-2727,0
1835,0,0
-1351,0,1
1853,0,0
26,-2781,0
1871,0,0
1133,0,0
1889,0,0
26,-2835,0
1907,0,0
-1405,0,1
1925,0,0
26,-2889,0
1943,0,0
80,2187,0
1961,0,0
26,-2943,0
1979,0,0
-1459,0,1
1997,0,0
26,-2997,0
2015,0,0
242,-1701,0
2033,0,0
8,-1017,0
2051,0,0
-1513,0,1
2069,0,0
8,-1035,0
2087,0,0
80,2349,0
2105,0,0
8,-1053,0
2123,0,0
-1567,0,1
2141,0,0
8,-1071,0
2159,0,0
1295,0,0
2177,0,0
8,-1089,0
2195,0,0
-1621,0,1
2213,0,0
8,-1107,0
2231,0,0
80,2511,0
2249,0,0
8,-1125,0
2267,0,0
-1675,0,1
2285,0,0
8,-1143,0
2303,0,0
1457,0,0
2321,0,0
8,-1161,0
2339,0,0
-1729,0,1
2357,0,0
8,-1179,0
2375,0,0
80,2673,0
2393,0,0
8,-1197,0
2411,0,0
-1783,0,1
2429,0,0
8,-1215,0
2447,0,0
1457,0,0
2465,0,0
8,-1233,0
2483,0,0
-1837,0,1
2501,0,0
8,-1251,0
2519,0,0
80,2835,0
2537,0,0
8,-1269,0
2555,0,0
-1891,0,1
2573,0,0
8,-1287,0
2591,0,0
242,-2187,0
2609,0,0
8,-1305,0
2627,0,0
-1945,0,1
2645,0,0
8,-1323,0
2663,0,0
80,2997,0
2681,0,0
8,-1341,0
2699,0,0
-1999,0,1
2717,0,0
8,-1359,0
2735,0,0
1619,0,0
2753,0,0
8,-1377,0
2771,0,0
-2053,0,0
2789,0,0
8,-1395,0
2807,0,0
26,1053,0
2825,0,0
8,-1413,0
2843,0,0
-2107,0,0
2861,0,0
8,-1431,0
2879,0,0
-2917,0,0
2897,0,0
8,-1449,0
2915,0,0
-2161,0,0
2933,0,0
8,-1467,0
2951,0,0
26,1107,0
2969,0,0
8,-1485,0
2987,0,0
-2215,0,0
1001,0,0
8,-1503,0
1007,0,0
1781,0,0
1013,0,0
8,-1521,0
1019,0,0
-2269,0,0
1025,0,0
8,-1539,0
1031,0,0
26,1161,0
1037,0,0
8,-1557,0
1043,0,0
-2323,0,0
1049,0,0
8,-1575,0
1055,0,0
242,-2673,0
1061,0,0
8,-1593,0
1067,0,0
-2377,0,0
1073,0,0
8,-1611,0
1079,0,0
26,1215,0
1085,0,0
8,-1629,0
1091,0,0
-2431,0,0
1097,0,0
8,-1647,0
1103,0,0
1943,0,0
1109,0,0
8,-1665,0
1115,0,0
-2485,0,0
1121,0,0
8,-1683,0
1127,0,0
26,1269,0
1133,0,0
8,-1701,0
1139,0,0
-2539,0,0
1145,0,0
8,-1719,0
1151,0,0
728,2187,0
1157,0,0
8,-1737,0
1163,0,0
-2593,0,0
1169,0,0
8,-1755,0
1175,0,0
26,1323,0
1181,0,0
8,-1773,0
1187,0,0
-2647,0,0
1193,0,0
8,-1791,0
1199,0,0
2105,0,0
1205,0,0
8,-1809,0
1211,0,0
-2701,0,0
1217,0,0
8,-1827,0
1223,0,0
26,1377,0
1229,0,0
8,-1845,0
1235,0,0
-2755,0,0
1241,0,0
8,-1863,0
1247,0,0
80,-1053,0
1253,0,0
8,-1881,0
1259,0,0
-2809,0,0
1265,0,0
8,-1899,0
1271,0,0
26,1431,0
1277,0,0
8,-1917,0
1283,0,0
-2863,0,0
1289,0,0
8,-1935,0
1295,0,0
2267,0,0
1301,0,0
8,-1953,0
1307,0,0
-2917,0,0
1313,0,0
8,-1971,0
1319,0,0
26,1485,0
1325,0,0
8,-1989,0
1331,0,0
-2971,0,0
1337,0,0
8,-2007,0
1343,0,0
-1459,0,1
1349,0,0
8,-2025,0
1355,0,0
-1009,0,1
1361,0,0
8,-2043,0
1367,0,0
26,1539,0
1373,0,0
8,-2061,0
1379,0,0
-1027,0,1
1385,0,0
8,-2079,0
1391,0,0
2429,0,0
1397,0,0
8,-2097,0
1403,0,0
-1045,0,1
1409,0,0
8,-2115,0
1415,0,0
26,1593,0
1421,0,0
8,-2133,0
1427,0,0
-1063,0,1
1433,0,0
8,-2151,0
1439,0,0
80,-1215,0
1445,0,0
8,-2169,0
1451,0,0
-1081,0,1
1457,0,0
8,-2187,0
1463,0,0
26,1647,0
1469,0,0
8,-2205,0
1475,0,0
-1099,0,1
1481,0,0
8,-2223,0
1487,0,0
2591,0,0
1493,0,0
8,-2241,0
1499,0,0
-1117,0,1
1505,0,0
8,-2259,0
1511,0,0
26,1701,0
1517,0,0
8,-2277,0
1523,0,0
-1135,0,1
1529,0,0
8,-2295,0
1535,0,0
728,-729,0
1541,0,0
8,-2313,0
1547,0,0
-1153,0,1
1553,0,0
8,-2331,0
1559,0,0
26,1755,0
1565,0,0
8,-2349,0
1571,0,0
-1171,0,1
1577,0,0
8,-2367,0
1583,0,0
2753,0,0
1589,0,0
8,-2385,0
1595,0,0
-1189,0,1
1601,0,0
8,-2403,0
1607,0,0
26,1809,0
1613,0,0
8,-2421,0
1619,0,0
-1207,0,1
1625,0,0
8,-2439,0
1631,0,0
80,-1377,0
1637,0,0
8,-2457,0
1643,0,0
-1225,0,1
1649,0,0
8,-2475,0
1655,0,0
26,1863,0
1661,0,0
8,-2493,0
1667,0,0
-1243,0,1
1673,0,0
8,-2511,0
1679,0,0
2915,0,0
1685,0,0
8,-2529,0
1691,0,0
-1261,0,1
1697,0,0
8,-2547,0
1703,0,0
26,1917,0
1709,0,0
8,-2565,0
1715,0,0
-1279,0,1
1721,0,0
8,-2583,0
1727,0,0
-1945,0,1
1733,0,0
8,-2601,0
1739,0,0
-1297,0,1
1745,0,0
8,-2619,0
1751,0,0
26,1971,0
1757,0,0
8,-2637,0
1763,0,0
-1315,0,1
1769,0,0
8,-2655,0
1775,0,0
1025,0,0
1781,0,0
8,-2673,0
1787,0,0
-1333,0,1
1793,0,0
8,-2691,0
1799,0,0
26,2025,0
1805,0,0
8,-2709,0
1811,0,0
-1351,0,1
1817,0,0
8,-2727,0
1823,0,0
80,-1539,0
1829,0,0
8,-2745,0
1835,0,0
-1369,0,1
1841,0,0
8,-2763,0
1847,0,0
26,2079,0
1853,0,0
8,-2781,0
1859,0,0
-1387,0,1
1865,0,0
8,-2799,0
1871,0,0
1079,0,0
1877,0,0
8,-2817,0
1883,0,0
-1405,0,1
1889,0,0
8,-2835,0
1895,0,0
26,2133,0
1901,0,0
8,-2853,0
1907,0,0
-1423,0,1
1913,0,0
8,-2871,0
1919,0,0
242,1215,0
1925,0,0
8,-2889,0
1931,0,0
-1441,0,1
1937,0,0
8,-2907,0
1943,0,0
26,2187,0
1949,0,0
8,-2925,0
1955,0,0
-1459,0,1
1961,0,0
8,-2943,0
1967,0,0
1133,0,0
1973,0,0
8,-2961,0
1979,0,0
-1477,0,1
1985,0,0
8,-2979,0
1991,0,0
26,2241,0
1997,0,0
8,-2997,0
2003,0,0
-1495,0,1
2009,0,0
2,-1005,0
2015,0,0
80,-1701,0
2021,0,0
2,-1011,0
2027,0,0
-1513,0,1
2033,0,0
2,-1017,0
2039,0,0
26,2295,0
2045,0,0
2,-1023,0
2051,0,0
-1531,0,1
2057,0,0
2,-1029,0
2063,0,0
1187,0,0
2069,0,0
2,-1035,0
2075,0,0
-1549,0,1
2081,0,0
2,-1041,0
2087,0,0
26,2349,0
2093,0,0
