
Sample 1/100: (a,b,c)=(9,6,7) | Conv Rate: 0.00 | Complex: 0.67 + 0.78i
Sample 2/100: (a,b,c)=(5,6,5) | Conv Rate: 0.00 | Complex: 1.20 + 1.00i
Sample 3/100: (a,b,c)=(7,6,6) | Conv Rate: 0.00 | Complex: 0.86 + 0.86i
Sample 4/100: (a,b,c)=(2,2,5) | Conv Rate: 0.00 | Complex: 1.00 + 2.50i
Sample 5/100: (a,b,c)=(8,4,1) | Conv Rate: 0.00 | Complex: 0.50 + 0.12i
Sample 6/100: (a,b,c)=(9,1,2) | Conv Rate: 0.51 | Complex: 0.11 + 0.22i
Sample 7/100: (a,b,c)=(4,10,3) | Conv Rate: 0.00 | Complex: 2.50 + 0.75i
Sample 8/100: (a,b,c)=(5,9,6) | Conv Rate: 0.00 | Complex: 1.80 + 1.20i
Sample 9/100: (a,b,c)=(10,5,6) | Conv Rate: 0.00 | Complex: 0.50 + 0.60i
Sample 10/100: (a,b,c)=(5,4,8) | Conv Rate: 0.00 | Complex: 0.80 + 1.60i
Sample 11/100: (a,b,c)=(8,3,6) | Conv Rate: 0.00 | Complex: 0.38 + 0.75i
Sample 12/100: (a,b,c)=(4,5,7) | Conv Rate: 0.00 | Complex: 1.25 + 1.75i
Sample 13/100: (a,b,c)=(2,2,3) | Conv Rate: 0.00 | Complex: 1.00 + 1.50i
Sample 14/100: (a,b,c)=(4,10,10) | Conv Rate: 0.00 | Complex: 2.50 + 2.50i
Sample 15/100: (a,b,c)=(8,1,1) | Conv Rate: 1.00 | Complex: 0.12 + 0.12i
Sample 16/100: (a,b,c)=(9,7,3) | Conv Rate: 0.00 | Complex: 0.78 + 0.33i
Sample 17/100: (a,b,c)=(10,9,2) | Conv Rate: 0.00 | Complex: 0.90 + 0.20i
Sample 18/100: (a,b,c)=(6,7,1) | Conv Rate: 0.00 | Complex: 1.17 + 0.17i
Sample 19/100: (a,b,c)=(8,6,9) | Conv Rate: 0.00 | Complex: 0.75 + 1.12i
Sample 20/100: (a,b,c)=(10,2,10) | Conv Rate: 0.00 | Complex: 0.20 + 1.00i
Sample 21/100: (a,b,c)=(3,7,2) | Conv Rate: 0.08 | Complex: 2.33 + 0.67i
Sample 22/100: (a,b,c)=(4,7,4) | Conv Rate: 0.00 | Complex: 1.75 + 1.00i
Sample 23/100: (a,b,c)=(2,1,2) | Conv Rate: 0.00 | Complex: 0.50 + 1.00i
Sample 24/100: (a,b,c)=(4,8,8) | Conv Rate: 0.18 | Complex: 2.00 + 2.00i
Sample 25/100: (a,b,c)=(5,3,5) | Conv Rate: 0.00 | Complex: 0.60 + 1.00i
Sample 26/100: (a,b,c)=(7,2,3) | Conv Rate: 0.00 | Complex: 0.29 + 0.43i
Sample 27/100: (a,b,c)=(3,6,4) | Conv Rate: 0.00 | Complex: 2.00 + 1.33i
Sample 28/100: (a,b,c)=(3,7,2) | Conv Rate: 0.08 | Complex: 2.33 + 0.67i
Sample 29/100: (a,b,c)=(10,2,2) | Conv Rate: 0.16 | Complex: 0.20 + 0.20i
Sample 30/100: (a,b,c)=(10,7,6) | Conv Rate: 0.00 | Complex: 0.70 + 0.60i
Sample 31/100: (a,b,c)=(10,1,6) | Conv Rate: 0.00 | Complex: 0.10 + 0.60i
Sample 32/100: (a,b,c)=(2,3,5) | Conv Rate: 0.20 | Complex: 1.50 + 2.50i
Sample 33/100: (a,b,c)=(8,2,6) | Conv Rate: 0.06 | Complex: 0.25 + 0.75i
Sample 34/100: (a,b,c)=(3,9,7) | Conv Rate: 0.00 | Complex: 3.00 + 2.33i
Sample 35/100: (a,b,c)=(2,6,5) | Conv Rate: 0.00 | Complex: 3.00 + 2.50i
Sample 36/100: (a,b,c)=(8,8,9) | Conv Rate: 0.00 | Complex: 1.00 + 1.12i
Sample 37/100: (a,b,c)=(8,10,9) | Conv Rate: 0.00 | Complex: 1.25 + 1.12i
Sample 38/100: (a,b,c)=(4,2,4) | Conv Rate: 0.67 | Complex: 0.50 + 1.00i
Sample 39/100: (a,b,c)=(8,7,6) | Conv Rate: 0.00 | Complex: 0.88 + 0.75i
Sample 40/100: (a,b,c)=(5,6,3) | Conv Rate: 0.00 | Complex: 1.20 + 0.60i
Sample 41/100: (a,b,c)=(2,1,2) | Conv Rate: 0.00 | Complex: 0.50 + 1.00i
Sample 42/100: (a,b,c)=(3,7,10) | Conv Rate: 0.12 | Complex: 2.33 + 3.33i
Sample 43/100: (a,b,c)=(2,9,1) | Conv Rate: 0.00 | Complex: 4.50 + 0.50i
Sample 44/100: (a,b,c)=(3,8,5) | Conv Rate: 0.00 | Complex: 2.67 + 1.67i
Sample 45/100: (a,b,c)=(5,7,10) | Conv Rate: 0.00 | Complex: 1.40 + 2.00i
Sample 46/100: (a,b,c)=(6,5,8) | Conv Rate: 0.00 | Complex: 0.83 + 1.33i
Sample 47/100: (a,b,c)=(8,5,9) | Conv Rate: 0.00 | Complex: 0.62 + 1.12i
Sample 48/100: (a,b,c)=(8,9,10) | Conv Rate: 0.00 | Complex: 1.12 + 1.25i
Sample 49/100: (a,b,c)=(4,8,1) | Conv Rate: 0.00 | Complex: 2.00 + 0.25i
Sample 50/100: (a,b,c)=(4,8,7) | Conv Rate: 0.00 | Complex: 2.00 + 1.75i
Sample 51/100: (a,b,c)=(8,5,3) | Conv Rate: 0.04 | Complex: 0.62 + 0.38i
Sample 52/100: (a,b,c)=(2,3,5) | Conv Rate: 0.20 | Complex: 1.50 + 2.50i
Sample 53/100: (a,b,c)=(10,2,8) | Conv Rate: 0.08 | Complex: 0.20 + 0.80i
Sample 54/100: (a,b,c)=(4,4,10) | Conv Rate: 0.00 | Complex: 1.00 + 2.50i
Sample 55/100: (a,b,c)=(4,6,4) | Conv Rate: 0.88 | Complex: 1.50 + 1.00i
Sample 56/100: (a,b,c)=(10,10,2) | Conv Rate: 0.00 | Complex: 1.00 + 0.20i
Sample 57/100: (a,b,c)=(10,7,6) | Conv Rate: 0.00 | Complex: 0.70 + 0.60i
Sample 58/100: (a,b,c)=(3,3,2) | Conv Rate: 0.00 | Complex: 1.00 + 0.67i
Sample 59/100: (a,b,c)=(10,7,4) | Conv Rate: 0.00 | Complex: 0.70 + 0.40i
Sample 60/100: (a,b,c)=(4,5,1) | Conv Rate: 0.00 | Complex: 1.25 + 0.25i
Sample 61/100: (a,b,c)=(2,5,3) | Conv Rate: 0.14 | Complex: 2.50 + 1.50i
Sample 62/100: (a,b,c)=(4,6,5) | Conv Rate: 0.00 | Complex: 1.50 + 1.25i
Sample 63/100: (a,b,c)=(5,10,1) | Conv Rate: 0.00 | Complex: 2.00 + 0.20i
Sample 64/100: (a,b,c)=(3,10,10) | Conv Rate: 0.00 | Complex: 3.33 + 3.33i
Sample 65/100: (a,b,c)=(3,7,6) | Conv Rate: 0.00 | Complex: 2.33 + 2.00i
Sample 66/100: (a,b,c)=(5,3,6) | Conv Rate: 0.00 | Complex: 0.60 + 1.20i
Sample 67/100: (a,b,c)=(5,1,6) | Conv Rate: 0.35 | Complex: 0.20 + 1.20i
Sample 68/100: (a,b,c)=(5,2,3) | Conv Rate: 0.27 | Complex: 0.40 + 0.60i
Sample 69/100: (a,b,c)=(6,9,2) | Conv Rate: 0.00 | Complex: 1.50 + 0.33i
Sample 70/100: (a,b,c)=(3,5,8) | Conv Rate: 0.00 | Complex: 1.67 + 2.67i
Sample 71/100: (a,b,c)=(8,2,4) | Conv Rate: 0.35 | Complex: 0.25 + 0.50i
Sample 72/100: (a,b,c)=(5,7,5) | Conv Rate: 0.00 | Complex: 1.40 + 1.00i
Sample 73/100: (a,b,c)=(8,3,5) | Conv Rate: 0.04 | Complex: 0.38 + 0.62i
Sample 74/100: (a,b,c)=(7,1,7) | Conv Rate: 0.00 | Complex: 0.14 + 1.00i
Sample 75/100: (a,b,c)=(5,9,9) | Conv Rate: 0.00 | Complex: 1.80 + 1.80i
Sample 76/100: (a,b,c)=(10,5,4) | Conv Rate: 0.00 | Complex: 0.50 + 0.40i
Sample 77/100: (a,b,c)=(9,6,3) | Conv Rate: 0.10 | Complex: 0.67 + 0.33i
Sample 78/100: (a,b,c)=(3,6,7) | Conv Rate: 0.00 | Complex: 2.00 + 2.33i
Sample 79/100: (a,b,c)=(9,1,5) | Conv Rate: 0.41 | Complex: 0.11 + 0.56i
Sample 80/100: (a,b,c)=(3,3,1) | Conv Rate: 0.00 | Complex: 1.00 + 0.33i
Sample 81/100: (a,b,c)=(10,5,2) | Conv Rate: 0.00 | Complex: 0.50 + 0.20i
Sample 82/100: (a,b,c)=(9,4,8) | Conv Rate: 0.00 | Complex: 0.44 + 0.89i
Sample 83/100: (a,b,c)=(6,9,8) | Conv Rate: 0.00 | Complex: 1.50 + 1.33i
Sample 84/100: (a,b,c)=(2,3,9) | Conv Rate: 0.00 | Complex: 1.50 + 4.50i
Sample 85/100: (a,b,c)=(2,4,5) | Conv Rate: 0.00 | Complex: 2.00 + 2.50i
Sample 86/100: (a,b,c)=(9,4,10) | Conv Rate: 0.00 | Complex: 0.44 + 1.11i
Sample 87/100: (a,b,c)=(10,8,5) | Conv Rate: 0.00 | Complex: 0.80 + 0.50i
Sample 88/100: (a,b,c)=(5,5,1) | Conv Rate: 0.00 | Complex: 1.00 + 0.20i
Sample 89/100: (a,b,c)=(4,9,8) | Conv Rate: 0.00 | Complex: 2.25 + 2.00i
Sample 90/100: (a,b,c)=(2,10,7) | Conv Rate: 0.00 | Complex: 5.00 + 3.50i
Sample 91/100: (a,b,c)=(3,5,5) | Conv Rate: 0.00 | Complex: 1.67 + 1.67i
Sample 92/100: (a,b,c)=(7,5,7) | Conv Rate: 0.00 | Complex: 0.71 + 1.00i
Sample 93/100: (a,b,c)=(8,7,7) | Conv Rate: 0.00 | Complex: 0.88 + 0.88i
Sample 94/100: (a,b,c)=(10,10,5) | Conv Rate: 0.00 | Complex: 1.00 + 0.50i
Sample 95/100: (a,b,c)=(9,5,7) | Conv Rate: 0.00 | Complex: 0.56 + 0.78i
Sample 96/100: (a,b,c)=(5,4,10) | Conv Rate: 0.00 | Complex: 0.80 + 2.00i
Sample 97/100: (a,b,c)=(6,10,10) | Conv Rate: 0.00 | Complex: 1.67 + 1.67i
Sample 98/100: (a,b,c)=(9,1,1) | Conv Rate: 1.00 | Complex: 0.11 + 0.11i
Sample 99/100: (a,b,c)=(9,7,3) | Conv Rate: 0.00 | Complex: 0.78 + 0.33i
Sample 100/100: (a,b,c)=(9,8,10) | Conv Rate: 0.00 | Complex: 0.89 + 1.11i



